Mars Hill,Error,UNC Greensboro,2430
time,team_id,description,h_score,a_score
19:43,2430,Francis Alonso made Three Point Jumper. Assisted by R.J. White.,0,3
19:16,2369,Vernon Jackson missed Jumper.,0,3
19:16,2430,R.J. White Defensive Rebound.,0,3
18:57,2430,Francis Alonso missed Three Point Jumper.,0,3
18:57,2430,Jordy Kuiper Offensive Rebound.,0,3
18:53,2369,Foul on Vernon Jackson.,0,3
18:53,2430,Jordy Kuiper made Free Throw.,0,4
18:53,2430,Jordy Kuiper made Free Throw.,0,5
18:32,2369,Vernon Jackson Turnover.,0,5
18:32,2430,Marvin Smith Steal.,0,5
18:26,2430,Francis Alonso made Three Point Jumper. Assisted by Diante Baldwin.,0,8
18:18,2369,Mars Hill  Timeout,0,8
18:09,2369,Mars Hill  Timeout,0,8
17:48,2369,Brandon Watkins missed Jumper.,0,8
17:48,2369,Vernon Jackson Offensive Rebound.,0,8
17:43,2369,Vernon Jackson made Two Point Tip Shot.,2,8
17:34,2369,Foul on Vernon Jackson.,2,8
17:29,2430,R.J. White Turnover.,2,8
17:10,2369,Vernon Jackson made Layup. Assisted by Valentine Bauer.,4,8
16:53,2430,Demetrius Troy made Three Point Jumper. Assisted by R.J. White.,4,11
16:40,2369,Luke Van-Rijn made Three Point Jumper. Assisted by Valentine Bauer.,7,11
16:32,2430,Marvin Smith Turnover.,7,11
16:31,2369,Luke Van-Rijn Steal.,7,11
16:22,2369,Brandon Watkins missed Jumper.,7,11
16:22,2430,Demetrius Troy Defensive Rebound.,7,11
16:08,2430,Jordy Kuiper made Jumper. Assisted by R.J. White.,7,13
15:49,2369,Vernon Jackson missed Layup.,7,13
15:49,2430,R.J. White Defensive Rebound.,7,13
15:42,2430,Marvin Smith made Three Point Jumper. Assisted by Diante Baldwin.,7,16
15:28,2430,Official TV Timeout,7,16
15:27,2369,Luke Van-Rijn missed Three Point Jumper.,7,16
15:27,2430,Marvin Smith Defensive Rebound.,7,16
15:10,2430,R.J. White missed Layup.,7,16
15:10,2430,James Dickey Offensive Rebound.,7,16
15:05,2430,James Dickey missed Layup.,7,16
15:05,2369,Dotson Griffin Defensive Rebound.,7,16
15:01,2369,Luke Van-Rijn made Layup.,9,16
14:49,2430,Marvin Smith missed Three Point Jumper.,9,16
14:49,2369,Luke Van-Rijn Defensive Rebound.,9,16
14:33,2369,Dotson Griffin Turnover.,9,16
14:31,2430,James Dickey Steal.,9,16
14:23,2430,Demetrius Troy missed Three Point Jumper.,9,16
14:23,2369,Luke Van-Rijn Defensive Rebound.,9,16
14:06,2430,Foul on James Dickey.,9,16
13:48,2369,Justin Hartfield Turnover.,9,16
13:47,2430,Demetrius Troy Steal.,9,16
13:34,2430,Demetrius Troy Turnover.,9,16
13:34,2430,Foul on Demetrius Troy.,9,16
13:14,2369,Justin Hartfield missed Layup.,9,16
13:14,2430,Marvin Smith Block.,9,16
13:13,2369,Mars Hill Offensive Rebound.,9,16
13:03,2369,Valentine Bauer Turnover.,9,16
12:54,2430,Malik Massey made Three Point Jumper. Assisted by Francis Alonso.,9,19
12:32,2369,Justin Hartfield missed Layup.,9,19
12:32,2369,Dotson Griffin Offensive Rebound.,9,19
12:29,2369,Dotson Griffin missed Layup.,9,19
12:29,2430,James Dickey Defensive Rebound.,9,19
12:21,2430,Malik Massey made Layup.,9,21
12:21,2369,Foul on Dotson Griffin.,9,21
12:21,2430,Malik Massey made Free Throw.,9,22
12:13,2369,Justin Hartfield missed Layup.,9,22
12:13,2369,Vernon Jackson Offensive Rebound.,9,22
12:11,2369,Vernon Jackson made Layup.,11,22
12:03,2430,Francis Alonso made Three Point Jumper. Assisted by Jordy Kuiper.,11,25
11:44,2369,Vernon Jackson missed Jumper.,11,25
11:44,2430,Demetrius Troy Defensive Rebound.,11,25
11:35,2430,Demetrius Troy made Three Point Jumper. Assisted by Malik Massey.,11,28
11:18,2430,Foul on Francis Alonso.,11,28
10:59,2369,Brandon Watkins made Layup. Assisted by Bennett Wilson.,13,28
10:40,2430,Jordy Kuiper Turnover.,13,28
10:32,2369,Vernon Jackson Turnover.,13,28
10:30,2430,Marvin Smith Steal.,13,28
10:29,2369,Foul on Collin Hartman.,13,28
10:11,2430,R.J. White made Dunk.,13,30
10:03,2369,Charles Moore Turnover.,13,30
10:03,2369,Foul on Charles Moore.,13,30
9:40,2430,Diante Baldwin made Jumper.,13,32
9:25,2369,Brandon Watkins missed Jumper.,13,32
9:25,2369,Collin Hartman Offensive Rebound.,13,32
9:21,2369,Collin Hartman made Layup.,15,32
9:15,2430,Marvin Smith made Three Point Jumper. Assisted by Diante Baldwin.,15,35
8:59,2369,Vernon Jackson Turnover.,15,35
8:58,2430,Marvin Smith Steal.,15,35
8:41,2430,Marvin Smith made Three Point Jumper. Assisted by Diante Baldwin.,15,38
8:19,2430,Foul on Marvin Smith.,15,38
8:19,2369,Bennett Wilson made Free Throw.,16,38
8:19,2369,Bennett Wilson made Free Throw.,17,38
8:04,2430,R.J. White Turnover.,17,38
7:37,2369,Valentine Bauer Turnover.,17,38
7:37,2430,Official TV Timeout,17,38
7:15,2430,Foul on R.J. White.,17,38
7:15,2430,R.J. White Turnover.,17,38
7:11,2369,Bennett Wilson Turnover.,17,38
6:51,2430,Marvin Smith made Three Point Jumper. Assisted by Diante Baldwin.,17,41
6:35,2369,Valentine Bauer missed Three Point Jumper.,17,41
6:35,2430,James Dickey Defensive Rebound.,17,41
6:19,2369,Foul on Manny Polston.,17,41
6:18,2430,Marvin Smith made Layup. Assisted by Demetrius Troy.,17,43
6:04,2369,Brandon Watkins missed Three Point Jumper.,17,43
6:04,2430,Diante Baldwin Defensive Rebound.,17,43
5:55,2430,Marvin Smith made Three Point Jumper. Assisted by Diante Baldwin.,17,46
5:40,2369,Manny Polston Turnover.,17,46
5:38,2430,Demetrius Troy Steal.,17,46
5:36,2430,Marvin Smith made Layup. Assisted by Demetrius Troy.,17,48
5:24,2369,Bennett Wilson missed Layup.,17,48
5:24,2430,James Dickey Block.,17,48
5:21,2430,R.J. White Defensive Rebound.,17,48
5:17,2430,R.J. White Offensive Rebound.,17,48
5:17,2430,Diante Baldwin missed Layup.,17,48
5:16,2369,Foul on Brandon Watkins.,17,48
5:15,2430,R.J. White missed Free Throw.,17,48
5:15,2369,Dotson Griffin Defensive Rebound.,17,48
4:58,2369,Valentine Bauer Turnover.,17,48
4:55,2430,R.J. White Steal.,17,48
4:53,2369,Foul on Valentine Bauer.,17,48
4:53,2430,Diante Baldwin made Free Throw.,17,49
4:53,2430,Diante Baldwin made Free Throw.,17,50
4:45,2430,Kyrin Galloway Turnover.,17,50
4:44,2369,Grant Clarke Steal.,17,50
4:23,2430,Foul on Francis Alonso.,17,50
4:22,2430,Foul on Garrett Collins.,17,50
4:22,2369,Tavion Trimble made Free Throw.,18,50
4:22,2369,Tavion Trimble missed Free Throw.,18,50
4:22,2430,Jordy Kuiper Defensive Rebound.,18,50
4:09,2430,James Dickey Turnover.,18,50
4:02,2369,Bennett Wilson Turnover.,18,50
3:52,2430,Demetrius Troy Turnover.,18,50
3:51,2369,Tavion Trimble Steal.,18,50
3:51,2369,Tavion Trimble Turnover.,18,50
3:51,2430,Official TV Timeout,18,50
3:39,2430,James Dickey missed Jumper.,18,50
3:39,2430,Kyrin Galloway Offensive Rebound.,18,50
3:39,2369,Mars Hill Deadball Team Rebound.,18,50
3:37,2430,Foul on Kyrin Galloway.,18,50
3:37,2369,Grant Clarke made Free Throw.,19,50
3:37,2369,Grant Clarke missed Free Throw.,19,50
3:37,2369,Collin Hartman Offensive Rebound.,19,50
3:21,2430,Foul on Kyrin Galloway.,19,50
3:21,2369,Tavion Trimble made Free Throw.,20,50
3:21,2369,Tavion Trimble missed Free Throw.,20,50
3:21,2430,Kyrin Galloway Defensive Rebound.,20,50
3:00,2430,Demetrius Troy missed Jumper.,20,50
3:00,2430,Kyrin Galloway Offensive Rebound.,20,50
2:49,2430,Demetrius Troy missed Layup.,20,50
2:49,2369,Grant Clarke Defensive Rebound.,20,50
2:47,2430,Foul on James Dickey.,20,50
2:47,2369,Grant Clarke made Free Throw.,21,50
2:47,2369,Grant Clarke made Free Throw.,22,50
2:35,2430,Demetrius Troy Turnover.,22,50
2:34,2369,Tavion Trimble Steal.,22,50
2:33,2369,Tavion Trimble missed Layup.,22,50
2:33,2430,Demetrius Troy Defensive Rebound.,22,50
2:22,2430,James Dickey made Layup.,22,52
2:05,2369,Tavion Trimble made Layup. Assisted by Valentine Bauer.,24,52
2:05,2430,Foul on Kyrin Galloway.,24,52
2:05,2430,UNC Greensboro  Timeout,24,52
2:05,2369,Tavion Trimble missed Free Throw.,24,52
2:05,2430,Francis Alonso Defensive Rebound.,24,52
1:54,2369,Foul on Collin Hartman.,24,52
1:54,2430,Francis Alonso made Free Throw.,24,53
1:54,2430,Francis Alonso made Free Throw.,24,54
1:29,2430,Foul on Francis Alonso.,24,54
