North Park,Error,Valparaiso,2674
time,team_id,description,h_score,a_score
19:40,-1,Dyron Woods Turnover.,0,0
19:40,2674,Bakari Evelyn Steal.,0,0
19:25,-1,Foul on Matt Szuba.,0,0
19:25,2674,Parker Hazen missed Free Throw.,0,0
19:25,2674,Valparaiso Deadball Team Rebound.,0,0
19:25,2674,Parker Hazen missed Free Throw.,0,0
19:25,-1,Dyron Woods Defensive Rebound.,0,0
19:13,-1,Colin Lake missed Three Point Jumper.,0,0
19:13,2674,Bakari Evelyn Defensive Rebound.,0,0
19:02,-1,Foul on Dyron Woods.,0,0
19:02,2674,Derrik Smits made Free Throw.,0,1
19:02,2674,Derrik Smits made Free Throw.,0,2
18:51,-1,Foul on Matt Szuba.,0,2
18:51,-1,Matt Szuba Turnover.,0,2
18:40,2674,Max Joseph Turnover.,0,2
18:32,-1,Foul on Dyron Woods.,0,2
18:32,-1,Dyron Woods Turnover.,0,2
18:07,2674,Tevonn Walker missed Layup.,0,2
18:07,-1,North Park Defensive Rebound.,0,2
17:45,-1,Colin Lake missed Three Point Jumper.,0,2
17:45,2674,Parker Hazen Defensive Rebound.,0,2
17:24,2674,Derrik Smits missed Layup.,0,2
17:24,-1,Billy Kirby Defensive Rebound.,0,2
17:18,-1,Colin Lake missed Jumper.,0,2
17:18,2674,Derrik Smits Defensive Rebound.,0,2
17:06,-1,Foul on Billy Kirby.,0,2
17:06,2674,Max Joseph made Free Throw.,0,3
17:06,2674,Max Joseph made Free Throw.,0,4
16:54,-1,Vegard Tangen missed Three Point Jumper.,0,4
16:54,2674,Markus Golder Defensive Rebound.,0,4
16:45,2674,Bakari Evelyn made Jumper.,0,6
16:24,2674,Foul on Parker Hazen.,0,6
16:09,-1,Billy Kirby Turnover.,0,6
15:55,2674,Markus Golder made Three Point Jumper. Assisted by Mileek McMillan.,0,9
15:28,-1,Vegard Tangen missed Three Point Jumper.,0,9
15:28,2674,Markus Golder Defensive Rebound.,0,9
15:17,2674,Bakari Evelyn missed Layup.,0,9
15:17,2674,Derrik Smits Offensive Rebound.,0,9
15:15,2674,Derrik Smits made Dunk.,0,11
14:43,-1,Toby Marek missed Three Point Jumper.,0,11
14:43,2674,Bakari Evelyn Defensive Rebound.,0,11
14:36,-1,Foul on Colin Lake.,0,11
14:36,2674,Official TV Timeout,0,11
14:36,2674,Foul on Mileek McMillan.,0,11
14:36,2674,Mileek McMillan Turnover.,0,11
14:24,-1,Billy Kirby Turnover.,0,11
14:10,2674,Tevonn Walker missed Three Point Jumper.,0,11
14:10,-1,Vegard Tangen Defensive Rebound.,0,11
14:06,2674,Foul on Marten Linssen.,0,11
13:48,-1,Colin Lake missed Three Point Jumper.,0,11
13:48,2674,Marten Linssen Defensive Rebound.,0,11
13:26,2674,Tevonn Walker missed Layup.,0,11
13:26,-1,Billy Kirby Defensive Rebound.,0,11
13:08,-1,Toby Marek missed Three Point Jumper.,0,11
13:08,-1,Vegard Tangen Offensive Rebound.,0,11
13:04,2674,Foul on Mileek McMillan.,0,11
13:02,-1,Aaron Reed missed Layup.,0,11
13:02,2674,Parker Hazen Defensive Rebound.,0,11
12:52,-1,Foul on Aaron Reed.,0,11
12:52,2674,Micah Bradford missed Free Throw.,0,11
12:52,-1,Matt Mohr Defensive Rebound.,0,11
12:52,2674,Foul on Parker Hazen.,0,11
12:43,-1,Billy Kirby Turnover.,0,11
12:43,2674,Markus Golder Steal.,0,11
12:22,2674,Micah Bradford Turnover.,0,11
12:08,-1,Vegard Tangen missed Jumper.,0,11
12:08,2674,Bakari Evelyn Defensive Rebound.,0,11
11:54,2674,Tevonn Walker missed Three Point Jumper.,0,11
11:54,-1,Aaron Reed Defensive Rebound.,0,11
11:37,-1,Aaron Reed Turnover.,0,11
11:37,2674,John Kiser Steal.,0,11
11:33,2674,Markus Golder made Dunk. Assisted by John Kiser.,0,13
11:17,-1,Billy Kirby Turnover.,0,13
11:16,2674,Tevonn Walker Steal.,0,13
11:14,2674,Tevonn Walker Turnover.,0,13
11:14,2674,Official TV Timeout,0,13
10:44,-1,Aaron Reed missed Three Point Jumper.,0,13
10:44,-1,Toby Marek Offensive Rebound.,0,13
10:40,-1,Toby Marek missed Layup.,0,13
10:40,2674,Valparaiso Defensive Rebound.,0,13
10:24,2674,Derrik Smits made Jumper.,0,15
10:11,-1,Dyron Woods missed Three Point Jumper.,0,15
10:11,-1,Colin Lake Offensive Rebound.,0,15
9:57,-1,Dyron Woods made Jumper. Assisted by Toby Marek.,2,15
9:33,-1,Foul on Matt Szuba.,2,15
9:33,2674,Max Joseph made Free Throw.,2,16
9:33,2674,Max Joseph missed Free Throw.,2,16
9:33,-1,North Park Defensive Rebound.,2,16
9:32,2674,Foul on Marten Linssen.,2,16
9:15,-1,Khalen Davis missed Three Point Jumper.,2,16
9:15,2674,Markus Golder Defensive Rebound.,2,16
8:54,-1,Foul on Dyron Woods.,2,16
8:54,2674,Marten Linssen made Free Throw.,2,17
8:54,2674,Marten Linssen made Free Throw.,2,18
8:29,-1,Jason Hines made Layup. Assisted by Toby Marek.,4,18
8:12,-1,Foul on Khalen Davis.,4,18
8:12,2674,John Kiser made Free Throw.,4,19
8:12,2674,John Kiser made Free Throw.,4,20
7:46,-1,Colin Lake made Jumper.,6,20
7:38,2674,Bakari Evelyn missed Three Point Jumper.,6,20
7:38,2674,John Kiser Offensive Rebound.,6,20
7:25,2674,Derrik Smits missed Layup.,6,20
7:25,2674,Derrik Smits Offensive Rebound.,6,20
7:23,2674,Derrik Smits made Layup.,6,22
7:15,2674,Official TV Timeout,6,22
7:00,-1,Khalen Davis Turnover.,6,22
6:50,2674,Tevonn Walker missed Jumper.,6,22
6:50,2674,Valparaiso Offensive Rebound.,6,22
6:43,2674,Max Joseph missed Jumper.,6,22
6:43,-1,Scott Olsen Defensive Rebound.,6,22
6:23,-1,Colin Lake Turnover.,6,22
6:15,-1,Foul on Toby Marek.,6,22
6:15,2674,Tevonn Walker missed Free Throw.,6,22
6:15,2674,Valparaiso Deadball Team Rebound.,6,22
6:15,2674,Tevonn Walker made Free Throw.,6,23
6:05,-1,Jason Hines made Three Point Jumper. Assisted by Scott Olsen.,9,23
5:36,2674,Derrik Smits missed Jumper.,9,23
5:36,-1,North Park Defensive Rebound.,9,23
5:21,-1,Jason Hines made Three Point Jumper. Assisted by Scott Olsen.,12,23
5:02,2674,Tevonn Walker made Three Point Jumper. Assisted by Max Joseph.,12,26
4:36,-1,Colin Lake missed Three Point Jumper.,12,26
4:36,2674,Bakari Evelyn Defensive Rebound.,12,26
4:28,2674,Max Joseph made Layup. Assisted by Bakari Evelyn.,12,28
4:09,-1,Toby Marek Turnover.,12,28
4:09,2674,Max Joseph Steal.,12,28
4:05,2674,Max Joseph made Layup. Assisted by Tevonn Walker.,12,30
4:04,-1,Foul on Vegard Tangen.,12,30
4:04,2674,Max Joseph made Free Throw.,12,31
3:49,-1,Billy Kirby made Layup. Assisted by Jason Hines.,14,31
3:24,2674,Derrik Smits made Layup.,14,33
3:11,-1,Toby Marek missed Three Point Jumper.,14,33
3:11,2674,Markus Golder Defensive Rebound.,14,33
3:02,-1,Foul on Toby Marek.,14,33
3:02,2674,Official TV Timeout,14,33
3:02,2674,Markus Golder made Free Throw.,14,34
3:02,2674,Markus Golder missed Free Throw.,14,34
3:02,-1,Jason Hines Defensive Rebound.,14,34
2:43,-1,Colin Lake missed Three Point Jumper.,14,34
2:43,2674,Derrik Smits Defensive Rebound.,14,34
2:23,-1,Foul on Matt Mohr.,14,34
2:23,2674,Derrik Smits missed Free Throw.,14,34
2:23,2674,Valparaiso Deadball Team Rebound.,14,34
2:23,2674,Derrik Smits made Free Throw.,14,35
1:59,-1,Matt Mohr missed Three Point Jumper.,14,35
1:59,2674,Derrik Smits Defensive Rebound.,14,35
1:49,2674,Micah Bradford made Layup.,14,37
1:24,-1,North Park  Timeout,14,37
1:16,-1,Jason Hines Turnover.,14,37
1:06,2674,Micah Bradford made Three Point Jumper. Assisted by Tevonn Walker.,14,40
0:41,-1,Jason Hines made Three Point Jumper. Assisted by Colin Lake.,17,40
0:06,2674,Micah Bradford missed Three Point Jumper.,17,40
0:06,2674,Marten Linssen Offensive Rebound.,17,40
0:04,2674,Marten Linssen missed Layup.,17,40
0:04,2674,John Kiser Offensive Rebound.,17,40
0:03,2674,John Kiser missed Two Point Tip Shot.,17,40
0:03,2674,Markus Golder Offensive Rebound.,17,40
0:02,2674,Markus Golder missed Two Point Tip Shot.,17,40
0:01,2674,Marten Linssen Offensive Rebound.,17,40
0:00,2674,Marten Linssen missed Two Point Tip Shot.,17,40
0:00,2674,Valparaiso Deadball Team Rebound.,17,40
0:00,2674,End of 1st half,17,40
19:44,-1,Foul on Dyron Woods.,17,40
19:44,2674,Derrik Smits missed Free Throw.,17,40
19:44,2674,Valparaiso Deadball Team Rebound.,17,40
19:44,2674,Derrik Smits missed Free Throw.,17,40
19:44,-1,Matt Szuba Defensive Rebound.,17,40
19:23,2674,Foul on Tevonn Walker.,17,40
19:09,-1,Dyron Woods missed Jumper.,17,40
19:09,2674,Bakari Evelyn Defensive Rebound.,17,40
18:49,2674,Derrik Smits made Layup. Assisted by Max Joseph.,17,42
18:31,-1,Matt Szuba made Jumper. Assisted by Billy Kirby.,19,42
18:17,-1,Foul on Matt Szuba.,19,42
18:15,2674,Tevonn Walker missed Three Point Jumper.,19,42
18:15,2674,Tevonn Walker Offensive Rebound.,19,42
17:58,2674,Max Joseph made Jumper. Assisted by Parker Hazen.,19,44
17:39,-1,Vegard Tangen missed Jumper.,19,44
17:39,2674,Bakari Evelyn Defensive Rebound.,19,44
17:30,2674,Bakari Evelyn missed Three Point Jumper.,19,44
