UT Arlington,2608,Saint Mary's,250
time,team_id,description,h_score,a_score
20:00,2608,Jump Ball won by Saint Mary's,0,0
19:44,2608,Evan Fitzner made Three Point Jumper. Assisted by Joe Rahon.,0,3
19:15,250,Jorge Bilbao missed Jumper.,0,3
19:15,2608,Jock Landale Defensive Rebound.,0,3
18:50,2608,Jock Landale missed Layup.,0,3
18:50,250,Kevin Hervey Defensive Rebound.,0,3
18:27,250,Kevin Hervey made Three Point Jumper. Assisted by Erick Neal.,3,3
18:11,2608,Jock Landale Turnover.,3,3
18:11,250,Jorge Bilbao Steal.,3,3
18:05,250,Jalen Jones made Layup. Assisted by Drew Charles.,5,3
17:49,250,Foul on Kevin Hervey.,5,3
17:49,2608,Jock Landale made Free Throw.,5,4
17:49,2608,Jock Landale made Free Throw.,5,5
17:37,250,Erick Neal missed Layup.,5,5
17:37,250,Jorge Bilbao Offensive Rebound.,5,5
17:26,250,Jorge Bilbao Turnover.,5,5
17:26,2608,Jock Landale Steal.,5,5
17:20,2608,Evan Fitzner missed Three Point Jumper.,5,5
17:20,2608,Evan Fitzner Offensive Rebound.,5,5
17:08,2608,Jock Landale missed Layup.,5,5
17:08,250,Kevin Hervey Defensive Rebound.,5,5
16:54,250,Erick Neal Turnover.,5,5
16:35,2608,Evan Fitzner missed Jumper.,5,5
16:35,250,Kevin Hervey Defensive Rebound.,5,5
16:18,250,Kevin Hervey made Jumper.,7,5
16:04,2608,Calvin Hermanson missed Three Point Jumper.,7,5
16:04,250,Drew Charles Defensive Rebound.,7,5
15:57,250,Erick Neal missed Layup.,7,5
15:57,2608,Jock Landale Defensive Rebound.,7,5
15:49,2608,Jock Landale made Three Point Jumper. Assisted by Joe Rahon.,7,8
15:16,250,Drew Charles missed Three Point Jumper.,7,8
15:16,2608,Jock Landale Defensive Rebound.,7,8
15:06,2608,Jock Landale missed Three Point Jumper.,7,8
15:06,250,Jalen Jones Defensive Rebound.,7,8
14:56,250,Jalen Jones missed Jumper.,7,8
14:56,250,UT-Arlington Offensive Rebound.,7,8
14:55,2608,Official TV Timeout,7,8
14:48,250,Erick Neal Turnover.,7,8
14:25,2608,Dane Pineau made Jumper. Assisted by Emmett Naar.,7,10
13:59,250,Kevin Hervey made Jumper.,9,10
13:29,2608,Emmett Naar missed Three Point Jumper.,9,10
13:29,250,Kevin Hervey Defensive Rebound.,9,10
13:21,250,Drew Charles missed Jumper.,9,10
13:21,2608,Calvin Hermanson Defensive Rebound.,9,10
13:06,250,Foul on Jorge Bilbao.,9,10
13:06,2608,Dane Pineau missed Free Throw.,9,10
13:06,2608,Saint Mary's Deadball Team Rebound.,9,10
