Baylor,127,Michigan State,239
time,team_id,description,h_score,a_score
20:00,239,Jump Ball won by Baylor,0,0
19:48,239,Manu Lecomte missed Three Point Jumper.,0,0
19:48,127,Eron Harris Defensive Rebound.,0,0
19:28,127,Joshua Langford missed Three Point Jumper.,0,0
19:28,127,Kenny Goins Offensive Rebound.,0,0
19:19,127,Joshua Langford missed Three Point Jumper.,0,0
19:19,239,Baylor Defensive Rebound.,0,0
19:15,127,Foul on Eron Harris.,0,0
19:02,239,Johnathan Motley missed Layup.,0,0
19:02,239,Johnathan Motley Offensive Rebound.,0,0
18:57,239,Johnathan Motley missed Layup.,0,0
18:57,239,Al Freeman Offensive Rebound.,0,0
18:52,239,Manu Lecomte missed Three Point Jumper.,0,0
18:52,127,Eron Harris Defensive Rebound.,0,0
18:45,127,Eron Harris missed Jumper.,0,0
18:45,239,Jo Lual-Acuil Jr. Defensive Rebound.,0,0
18:36,239,Johnathan Motley missed Jumper.,0,0
18:36,239,Manu Lecomte Offensive Rebound.,0,0
18:23,239,Al Freeman made Three Point Jumper. Assisted by Manu Lecomte.,3,0
17:50,127,Miles Bridges made Three Point Jumper. Assisted by Eron Harris.,3,3
17:32,239,Johnathan Motley missed Jumper.,3,3
17:32,127,Eron Harris Defensive Rebound.,3,3
17:24,127,Eron Harris made Three Point Jumper. Assisted by Lourawls Nairn Jr..,3,6
17:06,239,Johnathan Motley made Layup. Assisted by Ishmail Wainright.,5,6
16:54,127,Eron Harris missed Three Point Jumper.,5,6
16:54,239,Jo Lual-Acuil Jr. Defensive Rebound.,5,6
16:42,239,Al Freeman missed Three Point Jumper.,5,6
16:42,127,Joshua Langford Defensive Rebound.,5,6
16:30,127,Miles Bridges made Layup. Assisted by Joshua Langford.,5,8
16:05,239,Al Freeman missed Layup.,5,8
16:05,127,Kenny Goins Block.,5,8
16:05,239,Baylor Offensive Rebound.,5,8
15:57,239,Johnathan Motley made Jumper. Assisted by Manu Lecomte.,7,8
15:35,127,Cassius Winston made Three Point Jumper. Assisted by Kenny Goins.,7,11
15:14,239,Johnathan Motley made Layup. Assisted by Ishmail Wainright.,9,11
15:14,127,Foul on Miles Bridges.,9,11
15:14,127,Official TV Timeout,9,11
15:14,239,Johnathan Motley made Free Throw.,10,11
14:43,127,Michigan St  Turnover.,10,11
14:25,239,King McClure missed Three Point Jumper.,10,11
14:25,127,Lourawls Nairn Jr. Defensive Rebound.,10,11
14:18,127,Matt McQuaid made Three Point Jumper. Assisted by Matt Van Dyk.,10,14
13:53,239,Johnathan Motley missed Jumper.,10,14
13:53,127,Cassius Winston Defensive Rebound.,10,14
13:23,127,Eron Harris Turnover.,10,14
13:23,239,King McClure Steal.,10,14
13:12,239,Terry Maston made Jumper. Assisted by Manu Lecomte.,12,14
