North Carolina,2633,Tennessee,153
time,team_id,description,h_score,a_score
20:00,153,Jump Ball won by North Carolina,0,0
19:43,153,Joel Berry II Turnover.,0,0
19:43,2633,Jordan Bowden Steal.,0,0
19:39,2633,Jordan Bowden made Dunk.,0,2
19:24,153,Luke Maye missed Layup.,0,2
19:24,2633,Kyle Alexander Block.,0,2
19:24,2633,Admiral Schofield Defensive Rebound.,0,2
19:18,2633,Admiral Schofield Turnover.,0,2
19:18,153,Joel Berry II Steal.,0,2
19:11,153,Joel Berry II made Three Point Jumper. Assisted by Theo Pinson.,3,2
18:57,153,Foul on Joel Berry II.,3,2
18:57,2633,Jordan Bone made Free Throw.,3,3
18:57,2633,Jordan Bone made Free Throw.,3,4
18:42,153,Luke Maye missed Jumper.,3,4
18:42,153,Theo Pinson Offensive Rebound.,3,4
18:40,2633,Foul on Admiral Schofield.,3,4
18:38,153,Luke Maye Turnover.,3,4
18:38,2633,Jordan Bone Steal.,3,4
18:31,2633,Jordan Bone Turnover.,3,4
18:26,153,Theo Pinson Turnover.,3,4
18:26,2633,Grant Williams Steal.,3,4
18:00,2633,Grant Williams missed Jumper.,3,4
18:00,2633,Kyle Alexander Offensive Rebound.,3,4
17:55,2633,Kyle Alexander made Layup.,3,6
17:31,153,Joel Berry II made Three Point Jumper.,6,6
17:06,2633,Jordan Bone made Jumper.,6,8
16:51,153,Joel Berry II missed Jumper.,6,8
16:51,153,Garrison Brooks Offensive Rebound.,6,8
16:44,153,Kenny Williams made Jumper.,8,8
16:19,2633,Admiral Schofield missed Three Point Jumper.,8,8
16:19,2633,Jordan Bowden Offensive Rebound.,8,8
16:13,2633,Jordan Bowden missed Jumper.,8,8
16:13,2633,Kyle Alexander Offensive Rebound.,8,8
16:08,2633,Kyle Alexander made Dunk.,8,10
15:43,153,Joel Berry II missed Layup.,8,10
15:43,2633,Kyle Alexander Block.,8,10
15:43,2633,Tennessee Defensive Rebound.,8,10
15:42,2633,Official TV Timeout,8,10
15:32,2633,James Daniel III made Three Point Jumper. Assisted by John Fulkerson.,8,13
15:12,2633,Foul on Grant Williams.,8,13
15:08,153,Luke Maye made Layup. Assisted by Theo Pinson.,10,13
14:52,2633,Lamonte Turner missed Three Point Jumper.,10,13
14:52,153,Sterling Manley Defensive Rebound.,10,13
14:49,2633,Foul on John Fulkerson.,10,13
14:40,153,Kenny Williams missed Layup.,10,13
14:40,153,Sterling Manley Offensive Rebound.,10,13
14:40,2633,Foul on John Fulkerson.,10,13
14:33,153,Joel Berry II made Layup.,12,13
14:16,2633,James Daniel III made Three Point Jumper. Assisted by Chris Darrington.,12,16
13:50,153,Luke Maye missed Jumper.,12,16
13:50,2633,Derrick Walker Defensive Rebound.,12,16
13:29,2633,Admiral Schofield made Jumper. Assisted by Lamonte Turner.,12,18
13:15,153,Foul on Brandon Robinson.,12,18
13:15,153,Brandon Robinson Turnover.,12,18
13:00,2633,Chris Darrington Turnover.,12,18
12:49,153,Foul on Brandon Robinson.,12,18
12:49,153,Brandon Robinson Turnover.,12,18
12:36,2633,Jordan Bone made Jumper.,12,20
12:17,153,Sterling Manley made Jumper. Assisted by Andrew Platek.,14,20
12:08,2633,Jordan Bone made Jumper.,14,22
11:59,153,Kenny Williams made Layup. Assisted by Theo Pinson.,16,22
11:40,2633,Jordan Bone missed Three Point Jumper.,16,22
11:40,153,Sterling Manley Defensive Rebound.,16,22
11:32,153,Kenny Williams made Three Point Jumper. Assisted by Theo Pinson.,19,22
11:07,2633,Admiral Schofield missed Three Point Jumper.,19,22
11:07,153,Theo Pinson Defensive Rebound.,19,22
10:54,153,Sterling Manley made Jumper. Assisted by Theo Pinson.,21,22
10:23,2633,Chris Darrington missed Layup.,21,22
10:23,2633,Derrick Walker Offensive Rebound.,21,22
10:16,2633,Tennessee  Turnover.,21,22
10:16,2633,Official TV Timeout,21,22
10:05,153,Foul on Joel Berry II.,21,22
10:05,153,Joel Berry II Turnover.,21,22
9:54,2633,Grant Williams made Jumper. Assisted by James Daniel III.,21,24
9:45,2633,Foul on James Daniel III.,21,24
9:36,153,Joel Berry II missed Three Point Jumper.,21,24
9:36,153,Garrison Brooks Offensive Rebound.,21,24
9:30,153,Garrison Brooks made Layup.,23,24
9:18,2633,Jordan Bone missed Three Point Jumper.,23,24
9:18,2633,Grant Williams Offensive Rebound.,23,24
9:12,2633,Grant Williams made Layup.,23,26
9:01,153,Joel Berry II missed Three Point Jumper.,23,26
9:01,2633,James Daniel III Defensive Rebound.,23,26
8:43,2633,Grant Williams missed Jumper.,23,26
8:43,153,Joel Berry II Defensive Rebound.,23,26
8:32,153,Joel Berry II Turnover.,23,26
8:32,2633,Jordan Bowden Steal.,23,26
8:27,2633,James Daniel III made Three Point Jumper. Assisted by Jordan Bowden.,23,29
8:18,153,Joel Berry II missed Layup.,23,29
8:18,2633,Grant Williams Defensive Rebound.,23,29
8:03,2633,James Daniel III missed Three Point Jumper.,23,29
8:03,153,Theo Pinson Defensive Rebound.,23,29
7:53,153,Theo Pinson Turnover.,23,29
7:50,2633,Official TV Timeout,23,29
7:38,2633,Jordan Bowden missed Jumper.,23,29
7:38,153,Theo Pinson Defensive Rebound.,23,29
7:26,153,Jalek Felton Turnover.,23,29
7:09,2633,Grant Williams made Jumper.,23,31
6:50,153,Theo Pinson missed Jumper.,23,31
6:50,153,Luke Maye Offensive Rebound.,23,31
6:43,2633,Foul on Jordan Bowden.,23,31
6:34,153,Luke Maye missed Jumper.,23,31
6:34,2633,Lamonte Turner Defensive Rebound.,23,31
6:21,2633,Foul on Grant Williams.,23,31
6:21,2633,Grant Williams Turnover.,23,31
6:06,153,Theo Pinson missed Layup.,23,31
6:06,153,Luke Maye Offensive Rebound.,23,31
6:01,153,Luke Maye made Layup.,25,31
5:40,153,Foul on Brandon Huffman.,25,31
5:40,2633,Kyle Alexander missed Free Throw.,25,31
5:40,2633,Tennessee Deadball Team Rebound.,25,31
5:40,2633,Kyle Alexander made Free Throw.,25,32
5:30,153,Luke Maye Turnover.,25,32
5:30,2633,John Fulkerson Steal.,25,32
5:15,2633,Admiral Schofield missed Jumper.,25,32
5:15,2633,John Fulkerson Offensive Rebound.,25,32
5:14,2633,John Fulkerson missed Layup.,25,32
5:14,2633,John Fulkerson Offensive Rebound.,25,32
5:14,153,Foul on Luke Maye.,25,32
5:14,2633,John Fulkerson made Free Throw.,25,33
5:14,2633,John Fulkerson made Free Throw.,25,34
4:56,153,Sterling Manley missed Layup.,25,34
4:56,2633,Lamonte Turner Defensive Rebound.,25,34
4:56,153,Foul on Sterling Manley.,25,34
4:56,2633,Lamonte Turner missed Free Throw.,25,34
4:56,2633,Lamonte Turner Offensive Rebound.,25,34
4:55,2633,Lamonte Turner missed Jumper.,25,34
4:55,2633,Tennessee Offensive Rebound.,25,34
4:50,2633,Jordan Bone Turnover.,25,34
4:30,153,Theo Pinson missed Three Point Jumper.,25,34
4:30,2633,Lamonte Turner Defensive Rebound.,25,34
4:04,2633,Admiral Schofield missed Jumper.,25,34
4:04,153,Theo Pinson Defensive Rebound.,25,34
3:53,153,Theo Pinson missed Jumper.,25,34
3:53,2633,John Fulkerson Block.,25,34
3:53,153,North Carolina Offensive Rebound.,25,34
3:51,2633,Official TV Timeout,25,34
3:50,153,Jalek Felton Turnover.,25,34
3:50,2633,John Fulkerson Steal.,25,34
3:43,2633,Foul on Admiral Schofield.,25,34
3:43,2633,Admiral Schofield Turnover.,25,34
3:25,153,Theo Pinson made Layup. Assisted by Jalek Felton.,27,34
3:25,2633,Foul on Kyle Alexander.,27,34
3:25,153,Theo Pinson made Free Throw.,28,34
3:02,2633,Jordan Bowden missed Three Point Jumper.,28,34
3:02,153,Sterling Manley Defensive Rebound.,28,34
2:54,153,Jalek Felton missed Layup.,28,34
2:54,2633,Kyle Alexander Block.,28,34
2:54,153,Jalek Felton Offensive Rebound.,28,34
2:44,153,Foul on Andrew Platek.,28,34
2:44,153,Andrew Platek Turnover.,28,34
2:21,2633,Jordan Bone missed Jumper.,28,34
2:21,153,Brandon Robinson Defensive Rebound.,28,34
2:15,153,Sterling Manley made Dunk. Assisted by Jalek Felton.,30,34
2:12,2633,Tennessee  Timeout,30,34
1:53,2633,Jordan Bone made Layup.,30,36
1:32,153,Jalek Felton missed Jumper.,30,36
1:32,2633,Jordan Bowden Defensive Rebound.,30,36
1:21,153,Foul on Jalek Felton.,30,36
1:21,2633,James Daniel III made Free Throw.,30,37
1:21,2633,James Daniel III made Free Throw.,30,38
0:56,153,Kenny Williams missed Layup.,30,38
0:56,2633,Jordan Bowden Defensive Rebound.,30,38
0:24,2633,Tennessee  Turnover.,30,38
0:06,153,Kenny Williams missed Three Point Jumper.,30,38
0:06,153,Sterling Manley Offensive Rebound.,30,38
0:02,153,Sterling Manley made Jumper.,32,38
0:00,2633,End of 1st half,32,38
20:00,2633,Jump Ball won by Tennessee,32,38
19:46,2633,Grant Williams missed Jumper.,32,38
19:46,2633,Admiral Schofield Offensive Rebound.,32,38
19:37,2633,Admiral Schofield made Three Point Jumper. Assisted by Jordan Bone.,32,41
19:27,153,Luke Maye made Layup. Assisted by Garrison Brooks.,34,41
19:04,2633,Grant Williams made Jumper.,34,43
18:44,153,Luke Maye made Three Point Jumper. Assisted by Theo Pinson.,37,43
18:32,2633,Admiral Schofield made Three Point Jumper. Assisted by Jordan Bone.,37,46
18:21,153,Joel Berry II made Jumper.,39,46
18:01,2633,Grant Williams made Jumper.,39,48
17:41,153,Luke Maye missed Layup.,39,48
17:41,153,Garrison Brooks Offensive Rebound.,39,48
17:39,153,Garrison Brooks made Layup.,41,48
17:39,2633,Foul on Jordan Bowden.,41,48
17:39,153,Garrison Brooks made Free Throw.,42,48
17:19,2633,Grant Williams missed Jumper.,42,48
17:19,153,Sterling Manley Defensive Rebound.,42,48
17:05,153,Garrison Brooks missed Layup.,42,48
17:05,2633,Grant Williams Block.,42,48
17:05,2633,Lamonte Turner Defensive Rebound.,42,48
16:52,2633,Admiral Schofield missed Layup.,42,48
16:52,2633,Jordan Bone Offensive Rebound.,42,48
16:46,2633,Lamonte Turner missed Three Point Jumper.,42,48
16:46,153,Luke Maye Defensive Rebound.,42,48
16:41,153,Joel Berry II missed Three Point Jumper.,42,48
16:41,153,Kenny Williams Offensive Rebound.,42,48
16:35,153,Kenny Williams made Layup.,44,48
16:27,153,Foul on Sterling Manley.,44,48
16:27,2633,Grant Williams made Free Throw.,44,49
16:27,2633,Grant Williams missed Free Throw.,44,49
16:27,2633,Jordan Bone Offensive Rebound.,44,49
16:13,2633,Admiral Schofield missed Three Point Jumper.,44,49
16:13,2633,Lamonte Turner Offensive Rebound.,44,49
15:54,2633,Lamonte Turner Turnover.,44,49
15:54,153,Theo Pinson Steal.,44,49
15:49,153,Luke Maye made Dunk. Assisted by Theo Pinson.,46,49
15:21,2633,Lamonte Turner missed Three Point Jumper.,46,49
15:21,2633,John Fulkerson Offensive Rebound.,46,49
14:59,2633,Grant Williams made Jumper.,46,51
14:45,153,Sterling Manley missed Layup.,46,51
14:45,2633,Grant Williams Block.,46,51
14:45,2633,Grant Williams Defensive Rebound.,46,51
14:37,2633,Admiral Schofield Turnover.,46,51
14:37,2633,Official TV Timeout,46,51
14:19,2633,Foul on James Daniel III.,46,51
14:12,153,Luke Maye made Jumper. Assisted by Sterling Manley.,48,51
13:50,2633,Admiral Schofield missed Jumper.,48,51
13:50,153,Theo Pinson Defensive Rebound.,48,51
13:34,2633,Foul on Chris Darrington.,48,51
13:29,2633,Foul on James Daniel III.,48,51
13:23,153,Foul on Sterling Manley.,48,51
13:23,153,Sterling Manley Turnover.,48,51
13:07,2633,Grant Williams missed Jumper.,48,51
13:07,153,Luke Maye Defensive Rebound.,48,51
12:58,153,Andrew Platek missed Three Point Jumper.,48,51
12:58,153,North Carolina Offensive Rebound.,48,51
12:45,153,Kenny Williams missed Layup.,48,51
12:45,153,Garrison Brooks Offensive Rebound.,48,51
12:45,153,Garrison Brooks missed Two Point Tip Shot.,48,51
12:45,2633,Grant Williams Defensive Rebound.,48,51
12:28,2633,Chris Darrington missed Jumper.,48,51
12:28,153,Luke Maye Defensive Rebound.,48,51
12:28,153,Andrew Platek missed Layup.,48,51
12:28,153,Kenny Williams Offensive Rebound.,48,51
12:28,153,Joel Berry II missed Three Point Jumper.,48,51
12:28,153,Garrison Brooks Offensive Rebound.,48,51
12:28,153,Garrison Brooks missed Layup.,48,51
12:28,153,Luke Maye Offensive Rebound.,48,51
12:13,153,Luke Maye made Layup.,50,51
12:13,2633,Foul on Jordan Bowden.,50,51
12:13,153,Luke Maye missed Free Throw.,50,51
12:13,153,Joel Berry II Offensive Rebound.,50,51
12:05,153,Joel Berry II made Three Point Jumper. Assisted by Kenny Williams.,53,51
11:49,2633,Chris Darrington made Three Point Jumper. Assisted by Jordan Bone.,53,54
11:34,153,Joel Berry II missed Layup.,53,54
11:34,153,North Carolina Offensive Rebound.,53,54
