George Fox,Error,Idaho,70
time,team_id,description,h_score,a_score
19:43,-1,Mason Green-Richards Turnover.,0,0
19:25,70,Brayon Blake made Layup. Assisted by Jordan Scott.,0,2
19:16,-1,Johnathan Doutt missed Three Point Jumper.,0,2
19:16,70,Brayon Blake Defensive Rebound.,0,2
18:49,-1,Foul on Johnathan Doutt.,0,2
18:49,70,Victor Sanders made Free Throw.,0,3
18:49,70,Victor Sanders made Free Throw.,0,4
18:32,-1,Thomas Rico missed Three Point Jumper.,0,4
18:32,70,Idaho Defensive Rebound.,0,4
18:14,70,Perrion Callandret missed Three Point Jumper.,0,4
18:14,70,Nate Sherwood Offensive Rebound.,0,4
18:10,70,Nate Sherwood made Layup.,0,6
18:10,-1,Foul on Thomas Rico.,0,6
18:10,70,Nate Sherwood made Free Throw.,0,7
17:53,-1,Mason Green-Richards made Three Point Jumper. Assisted by Johnathan Doutt.,3,7
17:30,70,Victor Sanders made Three Point Jumper. Assisted by Jordan Scott.,3,10
17:12,-1,Mason Green-Richards made Three Point Jumper. Assisted by Ryan Lacey.,6,10
16:48,70,Perrion Callandret Turnover.,6,10
16:47,-1,Dylan Hamlett Steal.,6,10
16:41,-1,Mason Green-Richards made Three Point Jumper. Assisted by Thomas Rico.,9,10
16:12,70,Victor Sanders made Three Point Jumper. Assisted by Perrion Callandret.,9,13
15:46,-1,Mason Green-Richards made Three Point Jumper. Assisted by Ryan Lacey.,12,13
15:29,70,Victor Sanders Turnover.,12,13
15:29,70,Foul on Victor Sanders.,12,13
15:21,-1,Jackson Januik Turnover.,12,13
15:09,70,Victor Sanders Turnover.,12,13
15:00,-1,Mason Green-Richards missed Jumper.,12,13
15:00,70,Brayon Blake Defensive Rebound.,12,13
14:49,70,Victor Sanders missed Layup.,12,13
14:49,70,Nate Sherwood Offensive Rebound.,12,13
14:43,70,Nate Sherwood missed Layup.,12,13
14:43,70,Victor Sanders Offensive Rebound.,12,13
14:41,70,Brayon Blake missed Jumper.,12,13
14:41,-1,Jackson Januik Defensive Rebound.,12,13
14:34,70,Foul on Brayon Blake.,12,13
14:33,-1,Ryan Lacey made Free Throw.,13,13
14:33,-1,Ryan Lacey made Free Throw.,14,13
14:33,-1,Ryan Lacey made Free Throw.,15,13
14:19,-1,Foul on Jackson Januik.,15,13
14:15,-1,Foul on Dylan Hamlett.,15,13
14:09,70,Brayon Blake missed Three Point Jumper.,15,13
14:09,-1,Dylan Hamlett Defensive Rebound.,15,13
13:52,-1,Dylan Hamlett made Jumper.,17,13
13:34,70,Nate Sherwood made Layup. Assisted by Victor Sanders.,17,15
13:22,-1,Dylan Hamlett made Layup. Assisted by Isaac Lee.,19,15
12:57,70,Brayon Blake made Dunk.,19,17
12:43,-1,Thomas Rico missed Three Point Jumper.,19,17
12:43,70,Victor Sanders Block.,19,17
12:42,-1,Dylan Hamlett Offensive Rebound.,19,17
12:37,-1,Isaac Lee made Three Point Jumper. Assisted by Thomas Rico.,22,17
12:22,70,Brayon Blake missed Jumper.,22,17
12:22,70,Nate Sherwood Offensive Rebound.,22,17
12:17,-1,Foul on Kevin Dent.,22,17
12:11,70,Trevon Allen made Jumper.,22,19
11:57,-1,Ryan Lacey missed Layup.,22,19
11:57,70,Chad Sherwood Defensive Rebound.,22,19
11:46,70,Chad Sherwood made Three Point Jumper. Assisted by Jordan Scott.,22,22
11:23,-1,Isaac Lee Turnover.,22,22
11:23,70,Victor Sanders Steal.,22,22
11:15,-1,Foul on Isaac Lee.,22,22
11:15,70,Official TV Timeout,22,22
11:15,70,Victor Sanders made Free Throw.,22,23
11:15,70,Victor Sanders missed Free Throw.,22,23
11:15,-1,Isaac Lee Defensive Rebound.,22,23
11:10,-1,Mason Green-Richards Turnover.,22,23
10:58,-1,Foul on Isaac Lee.,22,23
10:58,70,Scott Blakney made Free Throw.,22,24
10:58,70,Scott Blakney made Free Throw.,22,25
10:51,-1,Mason Green-Richards Turnover.,22,25
10:34,70,Garrett Kingman Turnover.,22,25
10:34,70,Foul on Garrett Kingman.,22,25
10:14,-1,Mason Green-Richards missed Three Point Jumper.,22,25
10:14,-1,Mason Green-Richards Offensive Rebound.,22,25
10:05,-1,Dylan Hamlett missed Layup.,22,25
10:05,70,Jordan Scott Block.,22,25
10:03,70,Chad Sherwood Defensive Rebound.,22,25
9:49,70,Scott Blakney missed Layup.,22,25
9:49,-1,Ryan Lacey Block.,22,25
9:47,70,Jordan Scott Offensive Rebound.,22,25
9:45,70,Jordan Scott made Layup.,22,27
9:34,-1,Mason Green-Richards missed Layup.,22,27
9:34,70,Jordan Scott Defensive Rebound.,22,27
9:27,70,Garrett Kingman made Three Point Jumper. Assisted by Trevon Allen.,22,30
9:15,-1,Dylan Hamlett missed Layup.,22,30
