Missouri Science &amp; Technology,Error,Bradley,71
time,team_id,description,h_score,a_score
19:45,-1,Foul on Sebastian Ferenc.,0,0
19:31,71,Donte Thomas made Jumper. Assisted by Darrell Brown.,0,2
19:14,71,Foul on Donte Thomas.,0,2
19:03,-1,Chris Harris made Jumper.,2,2
18:46,71,Donte Thomas missed Jumper.,2,2
18:46,-1,Sebastian Ferenc Defensive Rebound.,2,2
18:28,-1,Sebastian Ferenc missed Jumper.,2,2
18:28,71,Donte Thomas Defensive Rebound.,2,2
17:59,71,Darrell Brown missed Three Point Jumper.,2,2
17:59,71,Dwayne Lautier-Ogunleye Offensive Rebound.,2,2
17:52,71,Nate Kennell missed Three Point Jumper.,2,2
17:52,-1,Sebastian Ferenc Defensive Rebound.,2,2
17:33,-1,Ervin Sarajlic made Three Point Jumper. Assisted by Chris Harris.,5,2
17:14,-1,Foul on Sebastian Ferenc.,5,2
17:14,71,Dwayne Lautier-Ogunleye made Free Throw.,5,3
17:14,71,Dwayne Lautier-Ogunleye made Free Throw.,5,4
16:53,-1,Romain Louiserre made Jumper. Assisted by Ervin Sarajlic.,7,4
16:34,71,Koch Bar made Dunk. Assisted by Darrell Brown.,7,6
16:13,-1,Ervin Sarajlic missed Three Point Jumper.,7,6
16:13,71,Luuk van Bree Defensive Rebound.,7,6
15:59,71,Koch Bar made Jumper. Assisted by Nate Kennell.,7,8
15:50,-1,Chris Harris missed Three Point Jumper.,7,8
15:50,71,Koch Bar Defensive Rebound.,7,8
15:36,71,Darrell Brown Turnover.,7,8
15:34,-1,Chris Harris Steal.,7,8
15:32,-1,Dulan Scott made Dunk. Assisted by Chris Harris.,9,8
15:32,71,Official TV Timeout,9,8
15:12,71,Jayden Hodgson Turnover.,9,8
15:12,71,Foul on Jayden Hodgson.,9,8
14:53,71,Foul on Koch Bar.,9,8
14:51,-1,Dulan Scott missed Jumper.,9,8
14:51,71,Koch Bar Block.,9,8
14:49,71,Luuk van Bree Defensive Rebound.,9,8
14:37,71,Nate Kennell missed Three Point Jumper.,9,8
14:37,71,Koch Bar Offensive Rebound.,9,8
14:36,-1,Foul on Romain Louiserre.,9,8
14:29,71,Luuk van Bree missed Three Point Jumper.,9,8
14:29,-1,Chris Harris Defensive Rebound.,9,8
14:07,-1,Romain Louiserre missed Jumper.,9,8
14:07,-1,Romain Louiserre Offensive Rebound.,9,8
14:00,-1,Ervin Sarajlic made Three Point Jumper. Assisted by Gregory Lahm.,12,8
13:36,71,Darrell Brown missed Three Point Jumper.,12,8
13:36,71,Donte Thomas Offensive Rebound.,12,8
13:33,71,Donte Thomas made Jumper.,12,10
13:02,-1,Romain Louiserre missed Jumper.,12,10
13:02,71,JoJo McGlaston Defensive Rebound.,12,10
12:48,71,JoJo McGlaston Turnover.,12,10
12:46,-1,Ervin Sarajlic Steal.,12,10
12:25,-1,Romain Louiserre missed Jumper.,12,10
12:25,71,Elijah Childs Defensive Rebound.,12,10
12:17,71,Nate Kennell missed Three Point Jumper.,12,10
12:17,71,Elijah Childs Offensive Rebound.,12,10
12:14,71,Elijah Childs made Jumper.,12,12
11:58,-1,Gregory Lahm missed Three Point Jumper.,12,12
11:58,-1,Ervin Sarajlic Offensive Rebound.,12,12
11:52,-1,Chris Harris missed Three Point Jumper.,12,12
11:52,71,JoJo McGlaston Defensive Rebound.,12,12
11:50,-1,Foul on Romain Louiserre.,12,12
11:50,71,Official TV Timeout,12,12
