UC Irvine,26,UCLA,300
time,team_id,description,h_score,a_score
19:35,26,Prince Ali made Three Point Jumper. Assisted by Thomas Welsh.,0,3
19:34,300,Foul on Evan Leonard.,0,3
19:34,26,Prince Ali made Free Throw.,0,4
19:17,300,Max Hazzard made Three Point Jumper. Assisted by Brandon Smith.,3,4
19:11,26,Aaron Holiday Turnover.,3,4
19:09,300,Evan Leonard Steal.,3,4
19:07,300,Evan Leonard missed Layup.,3,4
19:07,26,Aaron Holiday Defensive Rebound.,3,4
18:59,26,Prince Ali missed Jumper.,3,4
18:59,300,Jonathan Galloway Defensive Rebound.,3,4
18:53,300,Max Hazzard missed Layup.,3,4
18:53,26,Aaron Holiday Block.,3,4
18:51,300,Evan Leonard Offensive Rebound.,3,4
18:36,300,Max Hazzard missed Three Point Jumper.,3,4
18:36,26,Aaron Holiday Defensive Rebound.,3,4
18:24,26,Gyorgy Goloman missed Layup.,3,4
18:24,300,Jonathan Galloway Block.,3,4
18:21,300,Tommy Rutherford Defensive Rebound.,3,4
18:02,300,Brandon Smith made Three Point Jumper. Assisted by Eyassu Worku.,6,4
17:44,26,Thomas Welsh missed Jumper.,6,4
17:44,300,Tommy Rutherford Defensive Rebound.,6,4
17:31,300,Tommy Rutherford made Layup.,8,4
17:14,300,Foul on Jonathan Galloway.,8,4
17:14,26,Kris Wilkes missed Free Throw.,8,4
17:14,26,UCLA Deadball Team Rebound.,8,4
17:14,26,Kris Wilkes made Free Throw.,8,5
16:47,26,Foul on Gyorgy Goloman.,8,5
16:47,300,Tommy Rutherford made Free Throw.,9,5
16:47,300,Tommy Rutherford missed Free Throw.,9,5
16:47,26,Thomas Welsh Defensive Rebound.,9,5
16:41,300,Foul on Brandon Smith.,9,5
16:41,26,Kris Wilkes missed Free Throw.,9,5
16:41,26,UCLA Deadball Team Rebound.,9,5
16:41,26,Kris Wilkes missed Free Throw.,9,5
16:41,26,UCLA Deadball Team Rebound.,9,5
16:41,26,Kris Wilkes made Free Throw.,9,6
16:22,300,Elston Jones missed Jumper.,9,6
16:22,26,Thomas Welsh Defensive Rebound.,9,6
16:13,26,Kris Wilkes missed Jumper.,9,6
16:13,300,Elston Jones Block.,9,6
16:11,300,Elston Jones Defensive Rebound.,9,6
16:05,300,Brandon Smith missed Jumper.,9,6
16:05,26,Aaron Holiday Defensive Rebound.,9,6
15:57,26,Aaron Holiday made Jumper.,9,8
15:37,26,Official TV Timeout,9,8
15:36,300,John Edgar Jr. missed Jumper.,9,8
15:36,300,UC Irvine Offensive Rebound.,9,8
15:26,300,Eyassu Worku missed Layup.,9,8
15:26,26,Kris Wilkes Defensive Rebound.,9,8
15:22,26,Aaron Holiday Turnover.,9,8
15:08,300,John Edgar Jr. Turnover.,9,8
15:06,26,Thomas Welsh Steal.,9,8
14:56,26,Kris Wilkes missed Three Point Jumper.,9,8
14:56,300,Eyassu Worku Defensive Rebound.,9,8
14:44,300,John Edgar Jr. missed Three Point Jumper.,9,8
14:44,26,Alex Olesinski Defensive Rebound.,9,8
14:31,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,9,10
14:02,300,Eyassu Worku missed Jumper.,9,10
14:02,300,John Edgar Jr. Offensive Rebound.,9,10
13:59,300,John Edgar Jr. missed Jumper.,9,10
13:59,300,Jonathan Galloway Offensive Rebound.,9,10
13:56,300,Jonathan Galloway missed Two Point Tip Shot.,9,10
13:56,26,Thomas Welsh Defensive Rebound.,9,10
13:51,26,Kris Wilkes missed Three Point Jumper.,9,10
13:51,26,Thomas Welsh Offensive Rebound.,9,10
13:47,26,Thomas Welsh missed Two Point Tip Shot.,9,10
13:47,300,Brad Greene Defensive Rebound.,9,10
13:36,300,Evan Leonard made Three Point Jumper. Assisted by Eyassu Worku.,12,10
13:23,26,Aaron Holiday missed Jumper.,12,10
13:23,26,Alex Olesinski Offensive Rebound.,12,10
13:08,300,Foul on Evan Leonard.,12,10
13:08,26,Prince Ali missed Free Throw.,12,10
13:08,26,UCLA Deadball Team Rebound.,12,10
13:08,26,Prince Ali made Free Throw.,12,11
13:08,26,Prince Ali made Free Throw.,12,12
13:02,300,John Edgar Jr. missed Jumper.,12,12
13:02,26,Gyorgy Goloman Block.,12,12
13:00,26,Aaron Holiday Defensive Rebound.,12,12
12:55,26,Chris Smith missed Three Point Jumper.,12,12
12:55,300,John Edgar Jr. Defensive Rebound.,12,12
12:46,300,Elston Jones made Layup. Assisted by Max Hazzard.,14,12
12:39,26,Prince Ali made Three Point Jumper. Assisted by Aaron Holiday.,14,15
12:18,300,Eyassu Worku missed Layup.,14,15
12:18,300,Elston Jones Offensive Rebound.,14,15
12:14,300,Elston Jones missed Two Point Tip Shot.,14,15
12:14,26,Gyorgy Goloman Defensive Rebound.,14,15
12:10,26,Prince Ali missed Three Point Jumper.,14,15
12:10,300,John Edgar Jr. Defensive Rebound.,14,15
11:38,300,Eyassu Worku missed Jumper.,14,15
11:38,26,Alex Olesinski Defensive Rebound.,14,15
11:30,26,Aaron Holiday missed Jumper.,14,15
11:30,26,Gyorgy Goloman Offensive Rebound.,14,15
