Whittier,300,UC Irvine,2850
time,team_id,description,h_score,a_score
19:49,-1,Louis Kurihara missed Jumper.,0,0
19:49,300,Elston Jones Defensive Rebound.,0,0
19:34,300,Elston Jones made Layup. Assisted by Brandon Smith.,0,2
19:18,-1,Eric Davis missed Three Point Jumper.,0,2
19:18,300,Evan Leonard Defensive Rebound.,0,2
19:05,-1,Foul on Eric Davis.,0,2
19:01,300,Jonathan Galloway Turnover.,0,2
19:01,300,Foul on Jonathan Galloway.,0,2
18:51,-1,Nick Potthoff missed Three Point Jumper.,0,2
18:51,-1,Jalen Gilmore Offensive Rebound.,0,2
18:44,-1,Louis Kurihara made Three Point Jumper. Assisted by Eric Davis.,3,2
18:22,300,Evan Leonard made Three Point Jumper. Assisted by Elston Jones.,3,5
18:10,300,Foul on Brandon Smith.,3,5
18:10,-1,Victor Nwaba missed Free Throw.,3,5
18:10,-1,Whittier Deadball Team Rebound.,3,5
18:10,-1,Victor Nwaba missed Free Throw.,3,5
18:10,300,Jonathan Galloway Defensive Rebound.,3,5
17:44,-1,Foul on Eric Davis.,3,5
17:44,300,Brandon Smith made Free Throw.,3,6
17:44,300,Brandon Smith made Free Throw.,3,7
17:25,-1,Victor Nwaba missed Jumper.,3,7
17:25,300,Eyassu Worku Defensive Rebound.,3,7
17:19,-1,Foul on Jalen Gilmore.,3,7
17:13,300,Eyassu Worku made Jumper.,3,9
16:58,-1,Nick Potthoff missed Three Point Jumper.,3,9
16:58,300,Jonathan Galloway Defensive Rebound.,3,9
16:42,300,Jonathan Galloway Turnover.,3,9
16:42,300,Foul on Jonathan Galloway.,3,9
16:30,-1,Louis Kurihara missed Three Point Jumper.,3,9
16:30,300,Tommy Rutherford Defensive Rebound.,3,9
16:10,300,Eyassu Worku made Three Point Jumper. Assisted by Evan Leonard.,3,12
15:54,-1,Nick Potthoff Turnover.,3,12
15:54,-1,Foul on Nick Potthoff.,3,12
15:54,300,Official TV Timeout,3,12
15:40,300,Evan Leonard missed Three Point Jumper.,3,12
15:40,-1,Eric Davis Defensive Rebound.,3,12
15:21,-1,Victor Nwaba made Three Point Jumper. Assisted by Eric Davis.,6,12
14:59,300,Brad Greene made Layup. Assisted by Evan Leonard.,6,14
14:49,-1,Louis Kurihara missed Jumper.,6,14
14:49,300,Brad Greene Defensive Rebound.,6,14
14:36,300,Brandon Smith Turnover.,6,14
14:30,-1,Nick Potthoff missed Three Point Jumper.,6,14
14:30,300,Evan Leonard Defensive Rebound.,6,14
