St. Mary's (MN),Error,Western Illinois,2710
time,team_id,description,h_score,a_score
19:47,2710,Brandon Gilbeck missed Jumper.,0,0
19:47,-1,Sawyer Rosner Defensive Rebound.,0,0
19:38,-1,Jakob Bailey made Jumper.,2,0
19:24,2710,C.J. Duff made Jumper.,2,2
18:58,-1,Kristjan Meitz Turnover.,2,2
18:42,2710,Kobe Webster made Three Point Jumper. Assisted by Jeremiah Usiosefe.,2,5
18:13,-1,James Cullen Turnover.,2,5
18:11,2710,Kobe Webster Steal.,2,5
18:08,2710,Kobe Webster made Layup.,2,7
17:36,-1,Jakob Bailey missed Jumper.,2,7
17:36,2710,Dalan Ancrum Defensive Rebound.,2,7
17:25,2710,Kobe Webster missed Three Point Jumper.,2,7
17:25,-1,Jakob Bailey Defensive Rebound.,2,7
17:07,2710,Foul on Jeremiah Usiosefe.,2,7
17:00,-1,Kristjan Meitz made Three Point Jumper. Assisted by Bradley Hill.,5,7
16:45,2710,Jeremiah Usiosefe Turnover.,5,7
16:45,2710,Foul on Jeremiah Usiosefe.,5,7
16:27,-1,Bradley Hill Turnover.,5,7
16:26,2710,Brandon Gilbeck Steal.,5,7
16:22,2710,Dalan Ancrum made Dunk. Assisted by Brandon Gilbeck.,5,9
16:04,-1,Kareem Anthony-Bello missed Three Point Jumper.,5,9
16:04,2710,Kobe Webster Defensive Rebound.,5,9
15:55,2710,Kobe Webster made Jumper.,5,11
15:31,-1,Kristjan Meitz Turnover.,5,11
15:29,2710,Kobe Webster Steal.,5,11
15:27,2710,Dalan Ancrum made Layup. Assisted by Kobe Webster.,5,13
15:14,-1,David Lindstrand Turnover.,5,13
15:12,2710,Kobe Webster Steal.,5,13
15:03,2710,Isaac Johnson missed Three Point Jumper.,5,13
15:03,-1,Bradley Hill Defensive Rebound.,5,13
14:56,-1,Jakob Bailey missed Three Point Jumper.,5,13
14:56,-1,St. Marys University Minnesota Offensive Rebound.,5,13
14:51,2710,Official TV Timeout,5,13
14:49,-1,Bradley Hill missed Jumper.,5,13
14:49,-1,Kareem Anthony-Bello Offensive Rebound.,5,13
14:43,-1,Jason Timm missed Three Point Jumper.,5,13
14:43,2710,Isaac Johnson Defensive Rebound.,5,13
14:31,2710,Brandon Gilbeck made Layup. Assisted by Isaac Johnson.,5,15
14:17,-1,Kareem Anthony-Bello made Three Point Jumper. Assisted by Bradley Hill.,8,15
14:12,2710,Western Illinois  Timeout,8,15
13:57,2710,Brandon Gilbeck made Layup. Assisted by Kobe Webster.,8,17
13:44,-1,Nate Urell missed Three Point Jumper.,8,17
13:44,2710,Jalen Morgan Defensive Rebound.,8,17
13:35,2710,Brandon Gilbeck made Layup. Assisted by Kobe Webster.,8,19
13:22,-1,Kareem Anthony-Bello made Three Point Jumper. Assisted by James Cullen.,11,19
12:57,2710,Brandon Gilbeck missed Jumper.,11,19
12:57,-1,Jason Timm Defensive Rebound.,11,19
12:43,-1,Nate Urell missed Three Point Jumper.,11,19
12:43,2710,C.J. Duff Defensive Rebound.,11,19
12:26,2710,C.J. Duff Turnover.,11,19
12:25,-1,Nate Urell Steal.,11,19
